title,link,website_element
Тёплые заметки из Адыгеи,https://ling.hse.ru/news/1158923575.html,h2 > a
Истории Школы лингвистики. Владимир Файер: «Лингвистика — это что-то совершенно потрясающее»,https://ling.hse.ru/news/1158822027.html,h2 > a
IV конференция Terra Hominis: на пути в большую науку,https://ling.hse.ru/news/1157801182.html,h2 > a
10-й Колмогоровский семинар по компьютерной лингвистике и наукам о языке,https://ling.hse.ru/news/1157677938.html,h2 > a
Новая книга Бориса Орехова,https://ling.hse.ru/news/1155318940.html,h2 > a
Русский язык от грамматики до нейросетей: на ФГН НИУ ВШЭ стартовала международная конференция,https://hum.hse.ru/news/1153768144.html,h2 > a
Сотрудники Центра языка и мозга разработали тест для оценки читательского опыта у детей,https://www.hse.ru/neuroling/news/1153659037.html,h2 > a
Το Βυζαντινό ντάτασετ: как рассказывать византинистам о DH-проекте,https://www.hse.ru/ma/dh/news/1151842432.html,h2 > a
Сотрудницы Центра языка и мозга стали победительницами стипендиального конкурса Фонда Потанина,https://ling.hse.ru/news/1154811944.html,h2 > a
О лаборатории,about,h2 > a
Константин Филатов защитил кандидатскую диссертацию,https://ilcl.hse.ru/news/1167333328.html,h2 > a
Экспедиция в село Зило,https://ilcl.hse.ru/news/1162914446.html,h2 > a
Два языка в одном селе: экспедиция лингвистов ФГН в Дагестан,https://hum.hse.ru/news/1156702990.html,h2 > a
Проект лаборатории вошел в шорт-лист премии «Открытый доступ к данным в гуманитарных науках»,https://ilcl.hse.ru/news/1148646015.html,h2 > a
Опубликован корпус поморского говора села Пурнема,https://ilcl.hse.ru/news/1142015851.html,h2 > a
«В науке ты сам себе начальник»,https://www.hse.ru/young-scientists/nasledskova,h2 > a
"«‎Одна из лучших площадок, чтобы учиться нетворкать, задавать вопросы и получать фидбек от коллег»: на XXII Конференции по типологии и грамматике для молодых исследователей",https://ling.hse.ru/news/1115915696.html,h2 > a
Наши доклады на ТМП-2025,https://ling.hse.ru/news/1101876269.html,h2 > a
Исследование вариативности падежного маркирования существительного в конструкциях с числительными на базе проекта DIAL2: интервью с Г. Морозом и К. Наккарато,https://ilcl.hse.ru/news/1089597551.html,h2 > a
Праздник защит курсовых,https://ling.hse.ru/news/1164594807.html,h2 > a
Проект 2025-2027 года,https://cfi.hse.ru/corpora/news/1160713913.html,h2 > a
Депиктивы оказались ещё удивительнее: о неканонических депиктивах и ограничениях на их употребление,https://cfi.hse.ru/corpora/news/866682750.html,h2 > a
"""Дорогая дочь, я хочу для тебя хорошего мужчину из города, или О DOMе в якутском""",https://cfi.hse.ru/corpora/news/861202889.html,h2 > a
"Совместный онлайн-семинар на тему ""Связность в языке и тексте""",https://cfi.hse.ru/corpora/news/836993920.html,h2 > a
Выражение оценки в новостном дискурсе,https://cfi.hse.ru/corpora/news/795341910.html,h2 > a
Нарушение речи у детей с расстройствами аутистического спектра: лингвистические и нейрофизиологические аспекты,https://cfi.hse.ru/corpora/news/795341885.html,h2 > a
Хвост виляет собакой: роль синкретизма в морфологической обработке,https://cfi.hse.ru/corpora/news/795341830.html,h2 > a
Языковая система как часть мозга человека,https://cfi.hse.ru/corpora/news/795341789.html,h2 > a
Дискурсивные формулы: к типологии прагматикализации,https://cfi.hse.ru/corpora/news/564941372.html,h2 > a
Дейксис к воображаемому и фоновые знания: влияние на процесс восприятия поэтического текст,https://cfi.hse.ru/corpora/news/564941156.html,h2 > a
Летняя школа по полевой лингвистике,https://hum.hse.ru/fml/field-linguistics-summer-school,h2 > a
Сотрудники лаборатории на ТМП 2025,https://hum.hse.ru/fml/news/1091895726.html,h2 > a
58-я конференция Европейского лингвистического общества (SLE 2025),https://ling.hse.ru/news/1089521194.html,h2 > a
Доклад Дарьи Сидоркиной и Анны Куликовой о времени и аспекте в лесном ненецком,https://hum.hse.ru/fml/news/1089405749.html,h2 > a
СКИЛ 2025,https://hum.hse.ru/fml/news/1087673073.html,h2 > a
Итай Басси и Давид Эршлер выступили на семинаре лаборатории,https://hum.hse.ru/fml/news/1089405286.html,h2 > a
XVII Mеждународный съезд славистов в Париже,https://ling.hse.ru/news/1087834265.html,h2 > a
Сотрудники лаборатории на FDSL 18,https://hum.hse.ru/fml/news/1087657208.html,h2 > a
Доклад Григория Сибилева на семинаре лаборатории,https://hum.hse.ru/fml/news/1087671470.html,h2 > a
"Отчет за лето: летняя школа «Логика, лингвистика и формальная философия 2025»",https://ling.hse.ru/news/1084024712.html,h2 > a
Дарья Сидоркина и Анна Куликова на TripleA 12,https://hum.hse.ru/fml/news/1087672087.html,h2 > a
Кирилл Медушевский на семинаре Арктической лаборатории: Фонология лесного ненецкого,https://hum.hse.ru/arctic/news/1152504183.html,div.plate_news__title.h4 > a
Вакансия стажёра-исследователя в Арктической лаборатории,https://hum.hse.ru/arctic/news/961403607.html,div.plate_news__title.h4 > a
Сотрудницы Арктической лаборатории организуют олимпиады для школьников,https://hum.hse.ru/arctic/news/1150259320.html,div.plate_news__title.h4 > a
"Любовь Баркова выступила на конференции ""Язык-Музыка-Жест: информационные перекрестки""",https://hum.hse.ru/arctic/news/1149665635.html,div.plate_news__title.h4 > a
Софья Седунова на семинаре Арктической лаборатории,https://hum.hse.ru/arctic/news/1148581959.html,div.plate_news__title.h4 > a
Русское конечное оглушение на Фонологическом кружке: доклад Софьи Седуновой,https://hum.hse.ru/arctic/news/1148585907.html,div.plate_news__title.h4 > a
Гурова Ульяна и конференция «Язык – Музыка – Жест: Информационные перекрестки» в Санкт-Петербурге,https://hum.hse.ru/arctic/news/1150273360.html,div.plate_news__title.h4 > a
Финский факультатив во втором семестре,https://hum.hse.ru/arctic/news/1153488899.html,div.plate_news__title.h4 > a
Мария Самус на открытом семинаре Арктической лаборатории,https://hum.hse.ru/arctic/news/1141039450.html,div.plate_news__title.h4 > a
Эвенские семинары в лаборатории,https://hum.hse.ru/arctic/news/1139162995.html,div.plate_news__title.h4 > a
Студентка пермского кампуса НИУ ВШЭ представила исследование об анафоре в устной и письменной речи на английском языке,https://hum.hse.ru/lcl/news/1154216748.html,h2 > a
Научный сотрудник НУЛ учебных корпусов Елизавета Смирнова выступила с докладом на семинаре в Казанском федеральном университете,https://hum.hse.ru/lcl/news/1147554368.html,h2 > a
Состоялась предзащита докторской диссертации Елизаветы Смирновой,https://hum.hse.ru/lcl/news/1135573944.html,h2 > a
Цифровые помощники преподавателя: на семинаре НУЛ представили приложение для обучения академическому письму,https://hum.hse.ru/lcl/news/1132225641.html,h2 > a
"НУЛ учебных корпусов провела первый в 2026 открытый семинар, на котором выступили Е.А. Смирнова и Д.С. Туляков",https://hum.hse.ru/lcl/news/1122826694.html,h2 > a
Студенты пермского кампуса под руководством Е.А. Смирновой выступили на IV студенческая научно-практическая конференция им. Л.Л. Любимова с докладом по тематике лаборатории,https://hum.hse.ru/lcl/news/1101384976.html,h2 > a
В Пермском кампусе НИУ ВШЭ состоялся IV симпозиум по корпусной лингвистике,https://perm.hse.ru/news/1100790562.html,h2 > a
"28 октября прошло заседание семинара лаборатории на тему ""Представление климатического кризиса в хорватских интернет-новостных СМИ""",https://hum.hse.ru/lcl/news/1100008986.html,h2 > a
"7 ноября НУЛ приняла участие в работе IV симпозиума по корпусной лингвистике ""Корпусная лингвистика и дискурс-анализ""",https://hum.hse.ru/lcl/news/1100020321.html,h2 > a
"23 сентября прошёл семинар НУЛ по теме «Сначала найти, потом исправить: к вопросу о роли детектора в усовершенствовании прикладной GEC-системы»",https://hum.hse.ru/lcl/news/1089564798.html,h2 > a
Лаборатория языковой конвергенции,https://spb.hse.ru/humart/lcl,h2 > a
Состоялся III круглый стол «Языковые технологии для моделирования данных в междисциплинарных проектах: опыт молодых учёных»,https://spb.hse.ru/humart/lcl/news/1153524073.html,h2 > a
Доклады сотрудников на Третьей международной конференции «Язык — Музыка — Жест: Информационные перекрестки» (LMGIC-2026),https://spb.hse.ru/humart/lcl/news/1150106735.html,h2 > a
Сотрудники лаборатории на международной конференции EACL-2026,https://spb.hse.ru/humart/lcl/news/1150093375.html,h2 > a
НИУ ВШЭ — Санкт-Петербург и Yandex Cloud разработали чат-бота для интерактивного взаимодействия с посетителями музеев,https://spb.hse.ru/humart/lcl/news/1137715208.html,h2 > a
"Международный научно-практический семинар ""ИИ и современные инструменты в когнитивно-дискурсивных исследованиях и преподавании языка""",https://spb.hse.ru/humart/lcl/news/1131436644.html,h2 > a
"«Язык, текст, культура через призму цифровых технологий»: какой запомнилась конференция ее участникам и организаторам",https://spb.hse.ru/humart/lcl/news/1131414602.html,h2 > a
Презентация монографии «Американская национальная идентичность: Языковые модели и мифы сквозь века» научного сотрудника лаборатории Анны Ислентьевой,https://spb.hse.ru/humart/lcl/news/1114015158.html,h2 > a
Сотрудники лаборатории на конференции Internet and Modern Society – IMS-2025,https://spb.hse.ru/humart/lcl/news/1063434977.html,h2 > a
Неформальное межкампусное сотрудничество,https://spb.hse.ru/humart/lcl/news/1063434802.html,h2 > a
Лаборатория получила авторское право на разработанную базу данных,https://spb.hse.ru/humart/lcl/news/1052207980.html,h2 > a
Встреча с паланским писателем Кириллом Косыгиным,https://hum.hse.ru/arctic/news/1169622737.html,div.plate_news__title.h4 > a
